Date,Open,High,Low,Close,Adj Close,Volume
2023-04-27,1904.146851,1932.058716,1890.168945,1905.739624,1905.739624,14191
2023-04-28,1905.499390,1919.220459,1874.934570,1890.689087,1890.689087,1954885
2023-04-29,1890.614624,1911.811279,1884.731079,1901.826904,1901.826904,164603
2023-04-30,1902.377441,1931.617798,1876.390747,1876.390747,1876.390747,157725
2023-05-01,1874.852173,1881.713013,1807.411987,1826.852905,1826.852905,194291
2023-05-02,1827.283936,1873.371338,1819.922607,1865.895996,1865.895996,20983
2023-05-03,1866.111206,1907.350464,1842.954712,1898.370605,1898.370605,24188
2023-05-04,1898.373169,1908.171631,1867.256104,1873.065308,1873.065308,171013
2023-05-05,1872.809326,1991.613403,1871.965576,1990.468018,1990.468018,284089
2023-05-06,1991.199097,2009.803955,1867.066895,1894.500854,1894.500854,122990
2023-05-07,1894.305420,1927.861572,1872.367798,1872.367798,1872.367798,32009
2023-05-08,1872.355103,1879.812988,1814.141968,1844.986572,1844.986572,565556
2023-05-09,1845.108643,1854.338745,1830.602905,1846.130737,1846.130737,352396
2023-05-10,1846.159302,1882.347534,1798.854004,1839.293091,1839.293091,660723
2023-05-11,1839.537354,1840.911987,1776.535889,1794.962158,1794.962158,173293
2023-05-12,1794.827271,1813.035034,1743.479004,1809.427246,1809.427246,2569025
2023-05-13,1808.363403,1815.510010,1792.140625,1799.658447,1799.658447,201007
2023-05-14,1799.465454,1822.618774,1795.450073,1800.588013,1800.588013,72078
2023-05-15,1800.035645,1845.771973,1789.737549,1818.995728,1818.995728,202499
2023-05-16,1820.271973,1831.478149,1801.080688,1826.121460,1826.121460,156426
2023-05-17,1826.564209,1835.087891,1789.797852,1825.428223,1825.428223,227965
2023-05-18,1825.455933,1832.893066,1781.116211,1807.116577,1807.116577,902352
2023-05-19,1807.269653,1830.036255,1803.915283,1817.506226,1817.506226,97678
2023-05-20,1817.802490,1833.845337,1814.276367,1825.175903,1825.175903,322503
2023-05-21,1825.380981,1833.169067,1803.896973,1808.833374,1808.833374,750364
2023-05-22,1808.779053,1831.427734,1799.216309,1823.088257,1823.088257,238346
2023-05-23,1823.075928,1873.744873,1821.440918,1859.443970,1859.443970,114129
2023-05-24,1859.527344,1859.527344,1788.301392,1806.101807,1806.101807,20788
2023-05-25,1806.288330,1819.434937,1771.660522,1813.088379,1813.088379,194460
2023-05-26,1813.027344,1842.453003,1804.036255,1834.600708,1834.600708,102418
2023-05-27,1834.568115,1840.157593,1826.119019,1838.622559,1838.622559,82152
2023-05-28,1838.878784,1918.883057,1833.987183,1917.303955,1917.303955,186249
2023-05-29,1917.183594,1928.644409,1884.033569,1899.019165,1899.019165,266563
2023-05-30,1898.890381,1920.761353,1891.263794,1906.393799,1906.393799,352401
2023-05-31,1906.539185,1911.716797,1857.554688,1879.695068,1879.695068,269645
2023-06-01,1879.705933,1891.649170,1853.661865,1867.255127,1867.255127,211091
2023-06-02,1866.733765,1915.269775,1858.316895,1913.696655,1913.696655,45315
2023-06-03,1913.671387,1913.671387,1892.172607,1898.158203,1898.158203,108559
